system:index,BII2020,driver,.geo
1_352,0.8774834275245667,Agriculture,"{""type"":""Point"",""coordinates"":[117.7168261822422,2.266977482386889]}"
1_353,0.7350209951400757,Agriculture,"{""type"":""Point"",""coordinates"":[111.69040501732856,0.474520405503553]}"
1_361,0.7176491022109985,Agriculture,"{""type"":""Point"",""coordinates"":[110.11915280186595,-0.4430630856809709]}"
1_369,0.8813017010688782,Agriculture,"{""type"":""Point"",""coordinates"":[112.69025443466003,-1.3718441908246373]}"
1_379,0.8884943127632141,Agriculture,"{""type"":""Point"",""coordinates"":[113.21481007871552,-1.280244840709831]}"
1_417,0.9009808301925659,Agriculture,"{""type"":""Point"",""coordinates"":[114.94093725460846,-1.7355788854356788]}"
1_418,0.8692022562026978,Agriculture,"{""type"":""Point"",""coordinates"":[110.86719572202026,0.45543965494519795]}"
1_442,0.7240036725997925,Agriculture,"{""type"":""Point"",""coordinates"":[110.31788962650175,-0.3665861659051449]}"
1_445,0.5843824744224548,Agriculture,"{""type"":""Point"",""coordinates"":[109.71455437969688,1.4770842786067726]}"
1_449,0.8669605255126953,Agriculture,"{""type"":""Point"",""coordinates"":[118.0400660582843,1.1959939618553652]}"
1_451,0.8541076183319092,Agriculture,"{""type"":""Point"",""coordinates"":[113.03973772031671,-1.7560990401091623]}"
1_454,0.7460248470306396,Agriculture,"{""type"":""Point"",""coordinates"":[112.8118258318683,-2.701208018203145]}"
1_468,0.7959731221199036,Agriculture,"{""type"":""Point"",""coordinates"":[110.19425343295883,-2.4141689714969385]}"
1_471,0.7876520156860352,Agriculture,"{""type"":""Point"",""coordinates"":[110.28792816433064,-1.4361923269001948]}"
1_483,0.5089269280433655,Agriculture,"{""type"":""Point"",""coordinates"":[113.34717608385591,-1.3900329334206984]}"
1_492,0.8685187697410583,Agriculture,"{""type"":""Point"",""coordinates"":[111.70738371112489,0.6428167591598897]}"
1_496,0.3546363115310669,Agriculture,"{""type"":""Point"",""coordinates"":[109.18063914393585,0.288685997014488]}"
1_497,0.7896766066551208,Agriculture,"{""type"":""Point"",""coordinates"":[115.45535108061931,-3.3663675194439064]}"
