system:index,BII2020,driver,.geo
1_1_1_1_2_451,0.8541076183319092,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.03973772031671,-1.7560990401091623]}"
1_1_1_1_2_454,0.7460248470306396,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.8118258318683,-2.701208018203145]}"
1_1_1_1_2_468,0.7959731221199036,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.19425343295883,-2.4141689714969385]}"
1_1_1_1_2_471,0.7876520156860352,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.28792816433064,-1.4361923269001948]}"
1_1_1_1_2_483,0.5089269280433655,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.34717608385591,-1.3900329334206984]}"
1_1_1_1_2_492,0.8685187697410583,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.70738371112489,0.6428167591598897]}"
1_1_1_1_2_496,0.3546363115310669,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.18063914393585,0.288685997014488]}"
1_1_1_1_2_497,0.7896766066551208,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.45535108061931,-3.3663675194439064]}"
1_1_1_1_2_501,0.8650108575820923,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.12552983177973,3.652321008091605]}"
1_1_1_1_2_515,0.8456703424453735,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.47481768100218,-1.585919394864885]}"
1_1_1_1_2_535,0.7032995820045471,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.36531385277416,1.4105020833322086]}"
1_1_1_1_2_537,0.864289402961731,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.86342862669662,-0.5409413134467896]}"
1_1_1_1_2_544,0.889904797077179,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.79039289284032,1.0965281704236571]}"
1_1_1_1_2_546,0.6998685598373413,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.38733897052833,-3.2512405518115925]}"
1_1_1_1_2_554,0.8811535835266113,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.53169901408745,-1.5978139856976075]}"
1_1_1_1_2_562,0.7057707905769348,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.88528190117613,0.7632329251749115]}"
1_1_1_1_2_605,0.5792887210845947,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.52136237936227,-0.1636512076493425]}"
1_1_1_1_2_626,0.9465384483337402,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.32357424972649,-1.310131547358554]}"
1_1_1_1_2_646,0.8118072152137756,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.13146960051688,1.187429210195562]}"
1_1_1_1_2_669,0.8680102229118347,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.8988272179638,0.39646582249359097]}"
1_1_1_1_2_675,0.3787976801395416,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.69584381412362,1.3479006204338886]}"
1_1_1_1_2_699,0.8550178408622742,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.01434646794178,-1.2518404594991706]}"
1_1_1_1_2_703,0.6893900632858276,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.2041033470642,-1.3619221010350067]}"
1_1_1_1_2_732,0.4792991876602173,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.88577808653602,-1.2293378173216596]}"
1_1_1_1_2_740,0.6771670579910278,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.6207982459512,-0.36602562366813113]}"
1_1_1_1_2_823,0.7149043679237366,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.30500816792498,1.1309595853979437]}"
1_1_1_1_2_830,0.8633124828338623,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.67174685594368,-1.3321919036213523]}"
1_1_1_1_2_845,0.6914694309234619,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.73954671185983,-2.607231099477171]}"
1_1_1_1_2_860,0.9420863389968872,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.45433154822403,-1.4488707209834761]}"
1_1_1_1_2_866,0.8635163903236389,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.98478996398775,-1.1230788806691134]}"
1_1_1_1_2_904,0.5138397812843323,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.00919628833641,0.5928319783779598]}"
1_1_1_1_2_932,0.8678655624389648,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.0818611574104,-0.8803034695228883]}"
1_1_1_1_2_933,0.8504948616027832,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.15429867664399,2.082144072286338]}"
1_1_1_1_2_941,0.7851417660713196,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.37881842385272,-1.6227482340884913]}"
1_1_1_1_2_952,0.6896221041679382,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.89111479477226,-1.0734588776968552]}"
1_1_1_1_2_961,0.8669230937957764,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.68766021041552,-1.410715019759724]}"
1_1_1_1_2_964,0.7281202673912048,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.60095464552593,-0.46375320545758625]}"
1_1_1_1_2_975,0.49120262265205383,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.17658911828455,-0.8867966007892313]}"
1_1_1_1_2_992,0.893537700176239,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.94723896759724,-1.5804826656768027]}"
1_1_1_1_2_1003,0.9177490472793579,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.27410375150605,-1.6438876359155037]}"
1_1_1_1_2_1008,0.3875807523727417,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.4576057284853,1.5164924420635342]}"
1_1_1_1_2_1015,0.8590665459632874,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.00421472836112,-1.2037035242944902]}"
1_1_1_1_2_1034,0.8625196814537048,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.26235240301857,0.19632947518321753]}"
1_1_1_1_2_1037,0.4567030072212219,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.14392143511604,0.2881304499557092]}"
1_1_1_1_2_1054,0.8877233266830444,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.67690215488014,-2.476051802847435]}"
