driver,system:index,.geo
Permanent Agriculture,1_1_1_1_2_496,"{""type"":""Point"",""coordinates"":[109.18063914393585,0.288685997014488]}"
Permanent Agriculture,1_1_1_1_2_497,"{""type"":""Point"",""coordinates"":[115.45535108061931,-3.3663675194439064]}"
Permanent Agriculture,1_1_1_1_2_501,"{""type"":""Point"",""coordinates"":[117.12552983177973,3.652321008091605]}"
Permanent Agriculture,1_1_1_1_2_515,"{""type"":""Point"",""coordinates"":[110.47481768100218,-1.585919394864885]}"
Permanent Agriculture,1_1_1_1_2_535,"{""type"":""Point"",""coordinates"":[118.36531385277416,1.4105020833322086]}"
Permanent Agriculture,1_1_1_1_2_537,"{""type"":""Point"",""coordinates"":[110.86342862669662,-0.5409413134467896]}"
Permanent Agriculture,1_1_1_1_2_544,"{""type"":""Point"",""coordinates"":[109.79039289284032,1.0965281704236571]}"
Permanent Agriculture,1_1_1_1_2_546,"{""type"":""Point"",""coordinates"":[115.38733897052833,-3.2512405518115925]}"
Permanent Agriculture,1_1_1_1_2_554,"{""type"":""Point"",""coordinates"":[112.53169901408745,-1.5978139856976075]}"
Permanent Agriculture,1_1_1_1_2_562,"{""type"":""Point"",""coordinates"":[110.88528190117613,0.7632329251749115]}"
Permanent Agriculture,1_1_1_1_2_605,"{""type"":""Point"",""coordinates"":[109.52136237936227,-0.1636512076493425]}"
Permanent Agriculture,1_1_1_1_2_626,"{""type"":""Point"",""coordinates"":[116.32357424972649,-1.310131547358554]}"
Permanent Agriculture,1_1_1_1_2_646,"{""type"":""Point"",""coordinates"":[118.13146960051688,1.187429210195562]}"
Permanent Agriculture,1_1_1_1_2_669,"{""type"":""Point"",""coordinates"":[110.8988272179638,0.39646582249359097]}"
Permanent Agriculture,1_1_1_1_2_675,"{""type"":""Point"",""coordinates"":[109.69584381412362,1.3479006204338886]}"
Permanent Agriculture,1_1_1_1_2_699,"{""type"":""Point"",""coordinates"":[113.01434646794178,-1.2518404594991706]}"
Permanent Agriculture,1_1_1_1_2_703,"{""type"":""Point"",""coordinates"":[110.2041033470642,-1.3619221010350067]}"
Permanent Agriculture,1_1_1_1_2_732,"{""type"":""Point"",""coordinates"":[114.88577808653602,-1.2293378173216596]}"
Permanent Agriculture,1_1_1_1_2_740,"{""type"":""Point"",""coordinates"":[115.6207982459512,-0.36602562366813113]}"
Permanent Agriculture,1_1_1_1_2_823,"{""type"":""Point"",""coordinates"":[109.30500816792498,1.1309595853979437]}"
Permanent Agriculture,1_1_1_1_2_830,"{""type"":""Point"",""coordinates"":[110.67174685594368,-1.3321919036213523]}"
Permanent Agriculture,1_1_1_1_2_845,"{""type"":""Point"",""coordinates"":[112.73954671185983,-2.607231099477171]}"
Permanent Agriculture,1_1_1_1_2_860,"{""type"":""Point"",""coordinates"":[110.45433154822403,-1.4488707209834761]}"
Permanent Agriculture,1_1_1_1_2_866,"{""type"":""Point"",""coordinates"":[113.98478996398775,-1.1230788806691134]}"
Permanent Agriculture,1_1_1_1_2_904,"{""type"":""Point"",""coordinates"":[109.00919628833641,0.5928319783779598]}"
Permanent Agriculture,1_1_1_1_2_932,"{""type"":""Point"",""coordinates"":[115.0818611574104,-0.8803034695228883]}"
Permanent Agriculture,1_1_1_1_2_933,"{""type"":""Point"",""coordinates"":[117.15429867664399,2.082144072286338]}"
Permanent Agriculture,1_1_1_1_2_941,"{""type"":""Point"",""coordinates"":[110.37881842385272,-1.6227482340884913]}"
Permanent Agriculture,1_1_1_1_2_952,"{""type"":""Point"",""coordinates"":[109.89111479477226,-1.0734588776968552]}"
Permanent Agriculture,1_1_1_1_2_961,"{""type"":""Point"",""coordinates"":[112.68766021041552,-1.410715019759724]}"
Permanent Agriculture,1_1_1_1_2_964,"{""type"":""Point"",""coordinates"":[109.60095464552593,-0.46375320545758625]}"
Permanent Agriculture,1_1_1_1_2_975,"{""type"":""Point"",""coordinates"":[110.17658911828455,-0.8867966007892313]}"
Permanent Agriculture,1_1_1_1_2_992,"{""type"":""Point"",""coordinates"":[114.94723896759724,-1.5804826656768027]}"
Permanent Agriculture,1_1_1_1_2_1003,"{""type"":""Point"",""coordinates"":[116.27410375150605,-1.6438876359155037]}"
Permanent Agriculture,1_1_1_1_2_1008,"{""type"":""Point"",""coordinates"":[109.4576057284853,1.5164924420635342]}"
Permanent Agriculture,1_1_1_1_2_1015,"{""type"":""Point"",""coordinates"":[113.00421472836112,-1.2037035242944902]}"
Permanent Agriculture,1_1_1_1_2_1034,"{""type"":""Point"",""coordinates"":[109.26235240301857,0.19632947518321753]}"
Permanent Agriculture,1_1_1_1_2_1037,"{""type"":""Point"",""coordinates"":[109.14392143511604,0.2881304499557092]}"
Permanent Agriculture,1_1_1_1_2_1054,"{""type"":""Point"",""coordinates"":[111.67690215488014,-2.476051802847435]}"
Permanent Agriculture,1_1_1_1_2_1061,"{""type"":""Point"",""coordinates"":[117.23331223891147,2.0330818083623035]}"
Permanent Agriculture,1_1_1_1_2_1082,"{""type"":""Point"",""coordinates"":[110.31346121085288,-1.6798045240197659]}"
