system:index,BII2020,.geo
1,0.7441643476486206,"{""type"":""Point"",""coordinates"":[117.41727683727042,4.111519825258551]}"
2,0.9320763945579529,"{""type"":""Point"",""coordinates"":[118.56215812681964,1.0200757646673406]}"
3,0.960222601890564,"{""type"":""Point"",""coordinates"":[115.55057890990676,-3.1680026148450855]}"
5,0.9898195862770081,"{""type"":""Point"",""coordinates"":[113.18045356514007,1.1188710685957104]}"
6,0.980836808681488,"{""type"":""Point"",""coordinates"":[112.8720359282174,-0.5567637609935275]}"
10,0.8986780643463135,"{""type"":""Point"",""coordinates"":[115.24403114775895,-1.6106419837156338]}"
11,0.9893576502799988,"{""type"":""Point"",""coordinates"":[113.43155475411616,-0.3456037341072426]}"
12,0.9092437028884888,"{""type"":""Point"",""coordinates"":[114.79280328758367,-1.1965560707237155]}"
13,0.9991607069969177,"{""type"":""Point"",""coordinates"":[113.96685324389925,0.8794346808279473]}"
14,0.9806477427482605,"{""type"":""Point"",""coordinates"":[118.67897818380347,0.9510617065635942]}"
15,0.9649100303649902,"{""type"":""Point"",""coordinates"":[115.67221385461805,-2.959298191889322]}"
16,0.9478545188903809,"{""type"":""Point"",""coordinates"":[116.48407171288626,1.3285976038900928]}"
18,0.914783239364624,"{""type"":""Point"",""coordinates"":[109.99667737772583,1.0690003921111109]}"
20,0.9980244040489197,"{""type"":""Point"",""coordinates"":[115.04673530459598,0.4319829162399321]}"
21,0.9698176980018616,"{""type"":""Point"",""coordinates"":[110.90668194632164,-1.2324854597885584]}"
25,0.9172623157501221,"{""type"":""Point"",""coordinates"":[115.628051262227,-0.8038373354910137]}"
28,0.9983780384063721,"{""type"":""Point"",""coordinates"":[113.11582021745525,0.1533052122970101]}"
29,0.9634320735931396,"{""type"":""Point"",""coordinates"":[115.92109630562726,-1.1495684988295518]}"
30,0.9997761249542236,"{""type"":""Point"",""coordinates"":[115.50257525387632,0.9484445033423482]}"
33,0.846373975276947,"{""type"":""Point"",""coordinates"":[117.58646968626984,3.3773455536930412]}"
34,0.9408779740333557,"{""type"":""Point"",""coordinates"":[114.4300841415903,-1.698058067703079]}"
35,0.9860596656799316,"{""type"":""Point"",""coordinates"":[113.67996642996438,-2.727815128407081]}"
36,0.9362339377403259,"{""type"":""Point"",""coordinates"":[116.18799557269962,3.6706142342790615]}"
41,0.9960295557975769,"{""type"":""Point"",""coordinates"":[114.85260498016162,1.5519790672370142]}"
48,0.9773233532905579,"{""type"":""Point"",""coordinates"":[114.81617228925268,0.3707467351723974]}"
51,0.983870267868042,"{""type"":""Point"",""coordinates"":[115.35489203112917,2.7665226684924207]}"
52,0.9491339325904846,"{""type"":""Point"",""coordinates"":[117.12481818332245,3.0214113427504765]}"
56,0.9225794076919556,"{""type"":""Point"",""coordinates"":[111.0537362070847,-1.873507560385323]}"
57,0.9834297895431519,"{""type"":""Point"",""coordinates"":[116.07846965491136,3.5491671917377685]}"
59,0.9743469953536987,"{""type"":""Point"",""coordinates"":[113.19354590922684,-2.2883546973550413]}"
63,0.9697043895721436,"{""type"":""Point"",""coordinates"":[109.8042883606762,-0.7096322470535654]}"
64,0.9501340985298157,"{""type"":""Point"",""coordinates"":[116.02024119678008,-1.0595292937663585]}"
66,0.9942576885223389,"{""type"":""Point"",""coordinates"":[115.04254913124963,1.591650853960527]}"
68,0.9494050145149231,"{""type"":""Point"",""coordinates"":[111.00246169309145,0.4788519729569169]}"
69,0.9635833501815796,"{""type"":""Point"",""coordinates"":[112.7109412627523,0.5943090315306541]}"
70,0.9851202368736267,"{""type"":""Point"",""coordinates"":[115.26329673018036,2.4238335822008925]}"
71,0.9990833401679993,"{""type"":""Point"",""coordinates"":[116.0986493509913,1.411988679250869]}"
74,0.938213586807251,"{""type"":""Point"",""coordinates"":[109.9233820874958,0.6812224040770363]}"
76,0.8832622170448303,"{""type"":""Point"",""coordinates"":[113.83200431184771,-1.4974975458293862]}"
79,0.9950950741767883,"{""type"":""Point"",""coordinates"":[115.25786969979237,0.9936975772223167]}"
81,0.9390812516212463,"{""type"":""Point"",""coordinates"":[110.89569338136992,-1.602235715233277]}"
82,0.904715359210968,"{""type"":""Point"",""coordinates"":[118.0554012919118,1.5066282262419408]}"
83,0.9735854268074036,"{""type"":""Point"",""coordinates"":[116.34343545920025,-0.9929554596049494]}"
86,0.9946019053459167,"{""type"":""Point"",""coordinates"":[115.4823601182309,2.5806638056344977]}"
91,0.9994738698005676,"{""type"":""Point"",""coordinates"":[114.7683371087684,1.4238627643145154]}"
93,0.9357717037200928,"{""type"":""Point"",""coordinates"":[116.68676805631532,3.7852851250446173]}"
96,0.9521533250808716,"{""type"":""Point"",""coordinates"":[110.76243332444902,-0.7320910034616976]}"
97,0.902163565158844,"{""type"":""Point"",""coordinates"":[116.17954309910628,-2.2482447229090354]}"
101,0.9738386869430542,"{""type"":""Point"",""coordinates"":[114.2027836233362,0.06917185043805049]}"
102,0.9746134877204895,"{""type"":""Point"",""coordinates"":[118.62811086122721,0.9558138042762632]}"
103,0.9992700219154358,"{""type"":""Point"",""coordinates"":[114.19360241256189,1.289449948209708]}"
110,0.9516099095344543,"{""type"":""Point"",""coordinates"":[116.71738006580674,0.052054097168680626]}"
111,0.9692784547805786,"{""type"":""Point"",""coordinates"":[113.31276797964513,-2.3076625239955564]}"
114,0.9379269480705261,"{""type"":""Point"",""coordinates"":[115.16922470964221,-1.2520297213381342]}"
115,0.8433721661567688,"{""type"":""Point"",""coordinates"":[109.95750362534085,-1.7777778026019246]}"
116,0.9632154107093811,"{""type"":""Point"",""coordinates"":[114.51256125927007,-0.33170927312956927]}"
117,0.9994170665740967,"{""type"":""Point"",""coordinates"":[114.10186118387178,1.2240958378696312]}"
119,0.9610906839370728,"{""type"":""Point"",""coordinates"":[116.45087855199783,3.4168550839130947]}"
120,0.9631714224815369,"{""type"":""Point"",""coordinates"":[115.90459783266026,-1.1299570226601374]}"
122,0.9411811828613281,"{""type"":""Point"",""coordinates"":[116.8581041198809,2.9664326229303213]}"
123,0.9491080641746521,"{""type"":""Point"",""coordinates"":[113.78259895264763,-0.7911683383278588]}"
126,0.9650812745094299,"{""type"":""Point"",""coordinates"":[116.75383722223299,2.373233071748778]}"
128,0.9964447021484375,"{""type"":""Point"",""coordinates"":[116.18922165895688,1.2496917512548582]}"
130,0.9406058192253113,"{""type"":""Point"",""coordinates"":[114.64375886132092,-0.9481080862649]}"
137,0.9045100808143616,"{""type"":""Point"",""coordinates"":[110.16537234884873,-1.0254808095144008]}"
138,0.9930813908576965,"{""type"":""Point"",""coordinates"":[115.36434269028791,1.6205634173466794]}"
151,0.96702641248703,"{""type"":""Point"",""coordinates"":[114.78933482121107,0.2796555856392093]}"
153,0.9858412742614746,"{""type"":""Point"",""coordinates"":[116.61871728455422,2.6959527065162097]}"
154,0.9263350963592529,"{""type"":""Point"",""coordinates"":[112.20714281653422,-1.0727081934534903]}"
156,0.9689123034477234,"{""type"":""Point"",""coordinates"":[109.88860952494204,-0.4773525272873406]}"
157,0.9995047450065613,"{""type"":""Point"",""coordinates"":[113.8434843642036,0.13380328204697348]}"
158,0.9898003935813904,"{""type"":""Point"",""coordinates"":[115.17760522899034,0.7571640180051553]}"
160,0.9277300238609314,"{""type"":""Point"",""coordinates"":[113.60228022911176,-1.7737893698280198]}"
161,0.9705199003219604,"{""type"":""Point"",""coordinates"":[112.71601895683526,0.07898756105085654]}"
163,0.9509348273277283,"{""type"":""Point"",""coordinates"":[109.46436996580367,0.6464064826161203]}"
164,0.9145907163619995,"{""type"":""Point"",""coordinates"":[109.37050888029576,0.12782024665291247]}"
166,0.9822424650192261,"{""type"":""Point"",""coordinates"":[111.98622681615325,-3.163626145583899]}"
167,0.9694745540618896,"{""type"":""Point"",""coordinates"":[116.3774454516559,-0.9995383793339984]}"
168,0.9545268416404724,"{""type"":""Point"",""coordinates"":[118.43647338744238,1.088854402774438]}"
171,0.9976773262023926,"{""type"":""Point"",""coordinates"":[116.07347861299432,1.5125978519544114]}"
172,0.9633334875106812,"{""type"":""Point"",""coordinates"":[112.39453153313862,0.6218497982399134]}"
175,0.9892578125,"{""type"":""Point"",""coordinates"":[116.28035518407371,4.199590708862773]}"
180,0.9437925219535828,"{""type"":""Point"",""coordinates"":[114.65515610250803,-1.287723741554624]}"
185,0.987051784992218,"{""type"":""Point"",""coordinates"":[115.00500274681318,1.9147381566839616]}"
187,0.9986105561256409,"{""type"":""Point"",""coordinates"":[115.54269106899933,2.221504780507501]}"
189,0.9994840621948242,"{""type"":""Point"",""coordinates"":[113.96834954853574,1.0254567796437235]}"
